scope,municipality_id,municipio_nombre,disease_key,disease_name,confirmation_status,case_count,started_at,ended_at,status,source_datasets,latest_update
MUNICIPALITY,42000000-0000-0000-0000-000000002315,Abala,COVID-19,COVID-19,SUSPECTED,1,2026-08-17 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002315,Abala,INFLUENZA,Influenza,SUSPECTED,1,2026-08-17 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000331,Abasolo,COVID-19,COVID-19,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000331,Abasolo,INFLUENZA,Influenza,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000085,Acacoyagua,MEASLES,Measles,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000085,Acacoyagua,RUBELLA,Rubella,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000001586,Acajete,COVID-19,COVID-19,SUSPECTED,1,2026-06-15 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001586,Acajete,INFLUENZA,Influenza,SUSPECTED,1,2026-06-15 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000086,Acala,MEASLES,Measles,CONFIRMED,1,2026-06-03 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000086,Acala,MEASLES,Measles,SUSPECTED,4,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000086,Acala,RUBELLA,Rubella,SUSPECTED,4,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000332,Acambaro,COVID-19,COVID-19,CONFIRMED,2,2026-08-09 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000332,Acambaro,COVID-19,COVID-19,SUSPECTED,10,2026-06-07 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000332,Acambaro,INFLUENZA,Influenza,SUSPECTED,10,2026-06-07 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000332,Acambaro,MEASLES,Measles,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000332,Acambaro,RUBELLA,Rubella,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000671,Acambay de Ruiz Castaneda,COVID-19,COVID-19,SUSPECTED,2,2026-07-02 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000671,Acambay de Ruiz Castaneda,INFLUENZA,Influenza,SUSPECTED,2,2026-07-02 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002316,Acanceh,COVID-19,COVID-19,SUSPECTED,2,2026-06-22 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002316,Acanceh,INFLUENZA,Influenza,CONFIRMED,2,2026-08-02 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002316,Acanceh,INFLUENZA,Influenza,SUSPECTED,2,2026-06-22 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000377,Acapulco de Juarez,COVID-19,COVID-19,CONFIRMED,3,2026-07-19 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000377,Acapulco de Juarez,COVID-19,COVID-19,SUSPECTED,238,2026-06-01 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000377,Acapulco de Juarez,DENGUE,Dengue fever,SUSPECTED,1,2026-06-03 00:00:00,,ACTIVE,DENGUE_ABIERTO,2026-08-20
MUNICIPALITY,42000000-0000-0000-0000-000000000377,Acapulco de Juarez,INFLUENZA,Influenza,SUSPECTED,238,2026-06-01 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000377,Acapulco de Juarez,MEASLES,Measles,SUSPECTED,3,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000377,Acapulco de Juarez,RUBELLA,Rubella,SUSPECTED,3,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000001588,Acatlan,COVID-19,COVID-19,CONFIRMED,1,2026-07-29 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001588,Acatlan,COVID-19,COVID-19,SUSPECTED,2,2026-06-30 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001588,Acatlan,INFLUENZA,Influenza,SUSPECTED,2,2026-06-30 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000547,Acatlan de Juarez,COVID-19,COVID-19,SUSPECTED,2,2026-08-01 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000547,Acatlan de Juarez,INFLUENZA,Influenza,SUSPECTED,2,2026-08-01 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000547,Acatlan de Juarez,MEASLES,Measles,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000547,Acatlan de Juarez,RUBELLA,Rubella,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000001017,Acatlan de Perez Figueroa,COVID-19,COVID-19,SUSPECTED,1,2026-06-07 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001017,Acatlan de Perez Figueroa,INFLUENZA,Influenza,SUSPECTED,1,2026-06-07 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001589,Acatzingo,COVID-19,COVID-19,SUSPECTED,1,2026-07-17 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000001589,Acatzingo,INFLUENZA,Influenza,SUSPECTED,1,2026-07-17 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000463,Acaxochitlan,COVID-19,COVID-19,CONFIRMED,1,2026-08-04 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000672,Acolman,COVID-19,COVID-19,SUSPECTED,5,2026-06-15 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000672,Acolman,INFLUENZA,Influenza,SUSPECTED,5,2026-06-15 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
