scope,estado,disease_name,case_count,confirmation_status,status
STATE,Aguascalientes,Acute otitis media,1457,CONFIRMED,ACTIVE
STATE,Aguascalientes,Brucellosis,3,CONFIRMED,ACTIVE
STATE,Aguascalientes,COVID-19,14,CONFIRMED,ACTIVE
STATE,Aguascalientes,Chagas disease,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Chancroid,7,CONFIRMED,ACTIVE
STATE,Aguascalientes,Chickenpox,385,CONFIRMED,ACTIVE
STATE,Aguascalientes,Common cold,87414,CONFIRMED,ACTIVE
STATE,Aguascalientes,Conjunctivitis,2656,CONFIRMED,ACTIVE
STATE,Aguascalientes,Cysticercosis,2,CONFIRMED,ACTIVE
STATE,Aguascalientes,Erysipelas,11,CONFIRMED,ACTIVE
STATE,Aguascalientes,Genital herpes,20,CONFIRMED,ACTIVE
STATE,Aguascalientes,Gonorrhea,7,CONFIRMED,ACTIVE
STATE,Aguascalientes,HIV/AIDS,35,CONFIRMED,ACTIVE
STATE,Aguascalientes,HPV,17,CONFIRMED,ACTIVE
STATE,Aguascalientes,Healthcare-associated infection,558,CONFIRMED,ACTIVE
STATE,Aguascalientes,Hepatitis A,8,CONFIRMED,ACTIVE
STATE,Aguascalientes,Hepatitis B,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Infectious gastroenteritis,26092,CONFIRMED,ACTIVE
STATE,Aguascalientes,Influenza,253,CONFIRMED,ACTIVE
STATE,Aguascalientes,Lymphogranuloma venereum,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Meningitis,3,CONFIRMED,ACTIVE
STATE,Aguascalientes,Mumps,46,CONFIRMED,ACTIVE
STATE,Aguascalientes,Myiasis,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Other viral hepatitis,5,CONFIRMED,ACTIVE
STATE,Aguascalientes,Parasitic disease,162,CONFIRMED,ACTIVE
STATE,Aguascalientes,Pneumonia,785,CONFIRMED,ACTIVE
STATE,Aguascalientes,Scabies,18,CONFIRMED,ACTIVE
STATE,Aguascalientes,Scarlet fever,20,CONFIRMED,ACTIVE
STATE,Aguascalientes,Strep throat,314,CONFIRMED,ACTIVE
STATE,Aguascalientes,Syphilis,59,CONFIRMED,ACTIVE
STATE,Aguascalientes,Taeniasis,2,CONFIRMED,ACTIVE
STATE,Aguascalientes,Trichomonas infection,10,CONFIRMED,ACTIVE
STATE,Aguascalientes,Tuberculosis,26,CONFIRMED,ACTIVE
STATE,Aguascalientes,Typhoid fever,3,CONFIRMED,ACTIVE
STATE,Aguascalientes,Urethritis,13443,CONFIRMED,ACTIVE
STATE,Aguascalientes,Vaginal yeast infection,196,CONFIRMED,ACTIVE
STATE,Aguascalientes,Vaginitis,817,CONFIRMED,ACTIVE
STATE,Aguascalientes,Viral exanthem,276,CONFIRMED,ACTIVE
STATE,Aguascalientes,Whooping cough,6,CONFIRMED,ACTIVE
STATE,Baja California,Acute otitis media,3572,CONFIRMED,ACTIVE
STATE,Baja California,Brucellosis,3,CONFIRMED,ACTIVE
STATE,Baja California,Chagas disease,4,CONFIRMED,ACTIVE
STATE,Baja California,Chancroid,39,CONFIRMED,ACTIVE
STATE,Baja California,Chickenpox,963,CONFIRMED,ACTIVE
STATE,Baja California,Common cold,126303,CONFIRMED,ACTIVE
STATE,Baja California,Conjunctivitis,5390,CONFIRMED,ACTIVE
STATE,Baja California,Cysticercosis,2,CONFIRMED,ACTIVE
STATE,Baja California,Dengue fever,2,CONFIRMED,ACTIVE
STATE,Baja California,Erysipelas,17,CONFIRMED,ACTIVE
STATE,Baja California,Genital herpes,68,CONFIRMED,ACTIVE
STATE,Baja California,Gonorrhea,33,CONFIRMED,ACTIVE
STATE,Baja California,HIV/AIDS,114,CONFIRMED,ACTIVE
STATE,Baja California,HPV,79,CONFIRMED,ACTIVE
STATE,Baja California,Healthcare-associated infection,749,CONFIRMED,ACTIVE
STATE,Baja California,Hepatitis A,15,CONFIRMED,ACTIVE
STATE,Baja California,Hepatitis B,30,CONFIRMED,ACTIVE
STATE,Baja California,Hepatitis C,465,CONFIRMED,ACTIVE
STATE,Baja California,Infectious gastroenteritis,24114,CONFIRMED,ACTIVE
STATE,Baja California,Influenza,74,CONFIRMED,ACTIVE
STATE,Baja California,Lymphogranuloma venereum,2,CONFIRMED,ACTIVE
STATE,Baja California,Meningitis,25,CONFIRMED,ACTIVE
STATE,Baja California,Mumps,231,CONFIRMED,ACTIVE
STATE,Baja California,Myiasis,4,CONFIRMED,ACTIVE
STATE,Baja California,Other viral hepatitis,25,CONFIRMED,ACTIVE
STATE,Baja California,Parasitic disease,366,CONFIRMED,ACTIVE
STATE,Baja California,Paratyphoid fever,124,CONFIRMED,ACTIVE
STATE,Baja California,Pinworm infection,1914,CONFIRMED,ACTIVE
STATE,Baja California,Pneumonia,3125,CONFIRMED,ACTIVE
STATE,Baja California,Rocky Mountain spotted fever,35,CONFIRMED,ACTIVE
STATE,Baja California,Scabies,324,CONFIRMED,ACTIVE
STATE,Baja California,Scarlet fever,19,CONFIRMED,ACTIVE
STATE,Baja California,Strep throat,807,CONFIRMED,ACTIVE
STATE,Baja California,Syphilis,536,CONFIRMED,ACTIVE
STATE,Baja California,Taeniasis,1,CONFIRMED,ACTIVE
STATE,Baja California,Trichomonas infection,272,CONFIRMED,ACTIVE
STATE,Baja California,Tuberculosis,782,CONFIRMED,ACTIVE
STATE,Baja California,Typhoid fever,24,CONFIRMED,ACTIVE
STATE,Baja California,Urethritis,20678,CONFIRMED,ACTIVE
STATE,Baja California,Vaginal yeast infection,660,CONFIRMED,ACTIVE
STATE,Baja California,Vaginitis,190,CONFIRMED,ACTIVE
STATE,Baja California,Viral exanthem,493,CONFIRMED,ACTIVE
STATE,Baja California,Whooping cough,25,CONFIRMED,ACTIVE
STATE,Baja California Sur,Acute otitis media,2913,CONFIRMED,ACTIVE
STATE,Baja California Sur,Brucellosis,7,CONFIRMED,ACTIVE
STATE,Baja California Sur,COVID-19,5,CONFIRMED,ACTIVE
