scope,estado,disease_name,case_count,confirmation_status,status
STATE,Aguascalientes,Acute otitis media,788,CONFIRMED,ACTIVE
STATE,Aguascalientes,Brucellosis,3,CONFIRMED,ACTIVE
STATE,Aguascalientes,COVID-19,14,CONFIRMED,ACTIVE
STATE,Aguascalientes,Chagas disease,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Chancroid,7,CONFIRMED,ACTIVE
STATE,Aguascalientes,Chickenpox,364,CONFIRMED,ACTIVE
STATE,Aguascalientes,Common cold,84379,CONFIRMED,ACTIVE
STATE,Aguascalientes,Conjunctivitis,1360,CONFIRMED,ACTIVE
STATE,Aguascalientes,Cysticercosis,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Erysipelas,10,CONFIRMED,ACTIVE
STATE,Aguascalientes,Genital herpes,18,CONFIRMED,ACTIVE
STATE,Aguascalientes,Gonorrhea,7,CONFIRMED,ACTIVE
STATE,Aguascalientes,HIV/AIDS,17,CONFIRMED,ACTIVE
STATE,Aguascalientes,HPV,15,CONFIRMED,ACTIVE
STATE,Aguascalientes,Healthcare-associated infection,506,CONFIRMED,ACTIVE
STATE,Aguascalientes,Hepatitis A,7,CONFIRMED,ACTIVE
STATE,Aguascalientes,Hepatitis B,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Infectious gastroenteritis,24205,CONFIRMED,ACTIVE
STATE,Aguascalientes,Influenza,253,CONFIRMED,ACTIVE
STATE,Aguascalientes,Lymphogranuloma venereum,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Meningitis,3,CONFIRMED,ACTIVE
STATE,Aguascalientes,Mumps,41,CONFIRMED,ACTIVE
STATE,Aguascalientes,Myiasis,1,CONFIRMED,ACTIVE
STATE,Aguascalientes,Other viral hepatitis,4,CONFIRMED,ACTIVE
STATE,Aguascalientes,Parasitic disease,149,CONFIRMED,ACTIVE
STATE,Aguascalientes,Pneumonia,760,CONFIRMED,ACTIVE
STATE,Aguascalientes,Scabies,18,CONFIRMED,ACTIVE
STATE,Aguascalientes,Scarlet fever,19,CONFIRMED,ACTIVE
STATE,Aguascalientes,Strep throat,302,CONFIRMED,ACTIVE
STATE,Aguascalientes,Syphilis,59,CONFIRMED,ACTIVE
STATE,Aguascalientes,Taeniasis,2,CONFIRMED,ACTIVE
STATE,Aguascalientes,Trichomonas infection,9,CONFIRMED,ACTIVE
STATE,Aguascalientes,Tuberculosis,24,CONFIRMED,ACTIVE
STATE,Aguascalientes,Typhoid fever,3,CONFIRMED,ACTIVE
STATE,Aguascalientes,Urethritis,12647,CONFIRMED,ACTIVE
STATE,Aguascalientes,Vaginal yeast infection,182,CONFIRMED,ACTIVE
STATE,Aguascalientes,Vaginitis,732,CONFIRMED,ACTIVE
STATE,Aguascalientes,Viral exanthem,267,CONFIRMED,ACTIVE
STATE,Aguascalientes,Whooping cough,6,CONFIRMED,ACTIVE
STATE,Baja California,Acute otitis media,869,CONFIRMED,ACTIVE
STATE,Baja California,Brucellosis,2,CONFIRMED,ACTIVE
STATE,Baja California,Chagas disease,4,CONFIRMED,ACTIVE
STATE,Baja California,Chancroid,38,CONFIRMED,ACTIVE
STATE,Baja California,Chickenpox,905,CONFIRMED,ACTIVE
STATE,Baja California,Common cold,121129,CONFIRMED,ACTIVE
STATE,Baja California,Conjunctivitis,713,CONFIRMED,ACTIVE
STATE,Baja California,Cysticercosis,2,CONFIRMED,ACTIVE
